;;;;;;;;;;;;;;;;;
HORAS/TRAB;DIAS;DIA/MES;DIA/TRAB;KM/DIA;APP;CORRIDAS;KM;VALOR/KM;KM-CUSTO KM;VALOR;TOTAL DIA;TOTAL ACUMULADO;;VALOR;DIAS;MEDIA DIA;ESPERADO DIA
4;1;02/mai;1;50;IFOOD;4;22,034;2,320;2,320;R$ 51,12;R$ 133,36;R$ 133,36;;R$ 3.597,46;24;R$ 149,89;R$ 229,89
;;;;;KEETA;6;27,966;2,941;2,941;R$ 82,24;;;;VALOR ESPERADO;;;
6;1;03/mai;2;130;IFOOD;4;26,257;1,710;1,710;R$ 44,90;R$ 258,22;R$ 391,58;;R$ 5.517,46;HORAS;MEDIA HORAS;ESPERADO HORAS
;;;;;KEETA;13;103,743;2,056;2,056;R$ 213,32;;;;GASOLINA/LT;192;R$ 18,74;R$ 28,74
6,5;1;05/mai;3;110;IFOOD;3;10,249;3,970;3,970;R$ 40,69;R$ 197,36;R$ 588,94;;;;;
;;;;;KEETA;14;99,751;1,571;1,571;R$ 156,67;;;;;;;
1,5;1;06/mai;4;20;IFOOD;2;11,904;1,880;1,880;R$ 22,38;R$ 33,40;R$ 622,34;;ACUMULADO;;;
;;;;;KEETA;1;8,096;1,361;1,361;R$ 11,02;;;;IFOOD;;;
6;1;07/mai;5;70;IFOOD;11;65,085;1,290;1,290;R$ 83,96;R$ 83,96;R$ 706,30;;R$ 1.411,15;;;
;;;;;KEETA;0;0,000;0,000;0,000;R$ 0,00;;;;KEETA;;;
3,5;1;14/mai;6;50;IFOOD;2;12,077;1,550;1,550;R$ 18,72;R$ 66,20;R$ 772,50;;R$ 470,12;;;
;;;;;KEETA;5;37,923;1,252;1,252;R$ 47,48;;;;TOTAL;;;
4,5;1;16/mai;7;150;IFOOD;10;49,145;2,200;2,200;R$ 108,12;R$ 125,08;R$ 897,58;;R$ 1.881,27;;;
;;;;;KEETA;1;100,855;0,168;0,168;R$ 16,96;;;;LIQUIDO;;;
5;1;17/mai;8;120;IFOOD;0;0,000;0,000;0,000;R$ 0,00;R$ 283,39;R$ 1.180,97;;R$ 1.881,27;;;
;;;;;KEETA;11;120,000;2,362;2,362;R$ 283,39;;;;MEDIA;;;
2;1;18/mai;9;70;IFOOD;3;16,007;2,990;2,990;R$ 47,86;R$ 47,86;R$ 1.228,83;;R$ 134,38;;;
;;;;;KEETA;0;0,000;0,000;0,000;R$ 0,00;;;;MEDIA/LIQUIDA;;;
7,5;1;20/mai;10;110;IFOOD;11;49,775;2,4;2,400;R$ 119,46;R$ 184,48;R$ 1.413,31;;R$ 134,38;;;
;;;;;KEETA;4;60,225;1,080;1,080;R$ 65,02;;;;DIA TOTAL;;;
4;1;21/mai;11;70;IFOOD;6;27,302;1,59;1,590;R$ 43,41;R$ 85,71;R$ 1.499,02;;14;;;
;;;;;KEETA;2;42,698;0,991;0,991;R$ 42,30;;;;HORA TOTAL;;;
3,5;1;22/mai;12;30;IFOOD;0;0,000;0;0,000;R$ 0,00;R$ 76,34;R$ 1.575,36;;61;;;
;;;;;KEETA;7;30,000;2,545;2,545;R$ 76,34;;;;KM/TOTAL;;;
3,5;1;26/mai;13;60;IFOOD;7;18,507;2,01;2,010;R$ 37,20;R$ 114,58;R$ 1.689,94;;1220;;;
;;;;;KEETA;8;41,493;1,865;1,865;R$ 77,38;;;;GASOLINA;;;
5;1;27/mai;14;120;IFOOD;1;7,593;1,5;1,500;R$ 11,39;R$ 133,39;R$ 1.823,33;;R$ 0,00;;;
;;;;;KEETA;12;112,407;1,085;1,085;R$ 122,00;;;;CUSTO TOTAL;;;
5,5;1;28/mai;15;146;IFOOD;0;0,000;0;0,000;R$ 0,00;R$ 180,67;R$ 2.004,00;;R$ 0,00;;;
;;;;;KEETA;17;146,000;1,237;1,237;R$ 180,67;;;;ESPERADO/HORA;;;
1,5;1;29/mai;16;44;IFOOD;0;0;0;0,000;R$ 0,00;R$ 44,35;R$ 2.048,35;;#REF!;;;
;;;;;KEETA;3;44,000;1,008;1,008;R$ 44,35;;;;MINIMO/HORA;;;
4,5;1;30/mai;17;80;IFOOD;0;0;0;0,000;R$ 0,00;R$ 192,99;R$ 2.241,34;;#REF!;;;
;;;;;KEETA;13;80,000;2,412;2,412;R$ 192,99;;;;GANHO/HORA/TOTAL;;;
5;1;31/mai;18;100;IFOOD;0;0;0;0,000;R$ 0,00;R$ 251,25;R$ 2.492,59;;30,84;;;
;;;;;KEETA;12;100,000;2,513;2,513;R$ 251,25;;;;GANHO/HORA/LIQ;;;
;;;;;;;;;;;;;;30,84;;;
;;;;;;;;;;;;;;CUSTO GASOLINA/KM;;;
;;;;;;;;;;;;;;R$ 0,00;;;
;;;;;;;;;;;;;;CUSTO MANUTENCAO;;;
;;;;;;;;;;;;;;R$ 0,00;;;
;;;;;;;;;;;;;;IFOOD/CORRIDA;;;
;;;;;;;;;;;;;;96;;;
;;;;;;;;;;;;;;KEETA/CARRIDA;;;
;;;;;;;;;;;;;;51;;;
;;;;;;;;;;;;;;MEDIA/HORAS/TRAB;;;
;;;;;;;;;;;;;;4,357;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
